"id","name","category","image","price","coordinates","highlights"
"1","Marina Beach, Chennai","Beaches","https://images.pexels.com/photos/28351717/pexels-photo-28351717.jpeg?auto=compress&cs=tinysrgb","₹3000 – ₹8000 (Local food & rides)","{13.0500, 80.2824}","Golden sands, Sunrise views, Street food, Historic landmarks"
"2","Kodaikanal, Tamil Nadu","Mountains","https://images.pexels.com/photos/127177/pexels-photo-127177.jpeg?auto=compress&cs=tinysrgb","₹3000 – ₹6000 (Stay + Travel)","{10.2381, 77.4892}","Coaker’s Walk, Kodaikanal Lake, Pine forests, Trekking trails"
"3","Madurai, Tamil Nadu","Cities","https://images.pexels.com/photos/16681047/pexels-photo-16681047.png?auto=compress&cs=tinysrgb","₹1000 – ₹2500 (Local Travel + Food)","{9.9252, 78.1198}","Meenakshi Temple, Street markets, Jigarthanda, Cultural heritage"
"4","Brihadeeswarar Temple, Thanjavur","Historical","https://images.pexels.com/photos/13226733/pexels-photo-13226733.jpeg?auto=compress&cs=tinysrgb","₹500 – ₹1500 (Travel + Entry)","{10.7847, 79.1316}","Chola architecture, Stone carvings, Cultural history, UNESCO site"
"5","Rameswaram Beach, Tamil Nadu","Beaches","https://images.pexels.com/photos/175773/pexels-photo-175773.jpeg?auto=compress&cs=tinysrgb","₹1500 – ₹3000 (Travel + Local Food)","{9.2887, 79.3129}","Shallow waters, Golden sands, Sunrise views, Close to temples"
"6","Ooty, Tamil Nadu","Mountains","https://images.pexels.com/photos/132037/pexels-photo-132037.jpeg?auto=compress&cs=tinysrgb","₹2500 – ₹5000 (Travel + Stay)","{11.4064, 76.6932}","Tea gardens, Botanical gardens, Nilgiri toy train, Doddabetta Peak"
"7","Mahabalipuram, Tamil Nadu","Historical","https://www.travelure.in/wp-content/uploads/2018/12/Shore-Temple-for-Blog","₹500 – ₹1500 (Travel + Entry)","{12.6269, 80.1925}","Shore Temple, Five Rathas, Stone carvings, Cultural history"
"8","Mudumalai National Park","Wildlife","https://images.pexels.com/photos/145939/pexels-photo-145939.jpeg?auto=compress&cs=tinysrgb","₹2000 – ₹4000 (Travel + Safari)","{11.5994, 76.5196}","Elephant safaris, Bird watching, Tigers & leopards, Nature trails"
"9","Pichavaram Mangrove Forest","Backwaters","https://images.pexels.com/photos/3762995/pexels-photo-3762995.jpeg?auto=compress&cs=tinysrgb","₹1000 – ₹2500 (Travel + Boat Ride)","{11.4294, 79.7694}","Mangrove boat rides, Bird watching, Eco-tourism, Serene backwaters"
"10","Kanyakumari, Tamil Nadu","Coastal","https://images.pexels.com/photos/230535/pexels-photo-230535.jpeg?auto=compress&cs=tinysrgb","₹1000 – ₹3000 (Travel + Food)","{8.0883, 77.5385}","Sunset views, Vivekananda Rock Memorial, Triveni Sangam, Beaches"
"11","Thanjavur Art Gallery","Cultural","https://upload.wikimedia.org/wikipedia/commons/9/91/Thanjavur_Paint","₹500 – ₹1000 (Entry fee)","{10.7871, 79.1394}","Chola bronzes, Traditional arts, Cultural heritage"
"12","Courtallam Waterfalls","Waterfalls","https://images.pexels.com/photos/104655/pexels-photo-104655.jpeg?auto=compress&cs=tinysrgb","₹200 – ₹500 (Local travel)","{8.9361, 77.2927}","Waterfalls, Natural springs, Spa"
"13","Thiruchendur Murugan Temple","Temple","https://upload.wikimedia.org/wikipedia/commons/3/3b/Thiruchendur","₹100 – ₹300 (Entry)","{8.4910, 78.1453}","Lord Murugan, Sea view, Pilgrimage"
"14","Srivilliputhur Andal Temple","Temple","https://upload.wikimedia.org/wikipedia/commons/5/57/Srivilliputtur","₹100 – ₹300 (Entry)","{9.4629, 77.5037}","Dravidian architecture, Andal shrine, Cultural festivals"
"15","Chettinad Palace, Karaikudi","Historical","https://upload.wikimedia.org/wikipedia/commons/8/8e/Ayyanar_temple_in_Chettinad_Mansion.JPG","₹300 – ₹800 (Entry + Guide)","{10.0748, 78.7702}","Chettinad mansions, Architecture, Cultural heritage"
"16","Vaigai Dam, Madurai","Dam","https://upload.wikimedia.org/wikipedia/commons/2/25/Vaigai_Dam_01.JPG","₹100 – ₹200 (Entry + Boating)","{9.9333, 78.3766}","Picnic spots, Boating, Scenic views"
"17","Alagar Kovil, Madurai","Temple","https://upload.wikimedia.org/wikipedia/commons/c/c3/Alagar_Kovil","₹50 – ₹200 (Entry)","{9.9840, 78.0709}","Vishnu temple, Alagar Hills, Pilgrimage"
"18","Tiruparankundram Murugan Temple","Temple","https://upload.wikimedia.org/wikipedia/commons/3/36/Tiruparankund","₹100 – ₹300 (Pilgrimage)","{9.8949, 78.0666}","Lord Murugan, Hill temple, Pilgrimage"
"19","Thirumalai Nayakkar Mahal, Madurai","Historical","https://upload.wikimedia.org/wikipedia/commons/2/26/Thirumalai_N","₹500 – ₹1000 (Entry fee)","{9.9298, 78.1084}","Palace architecture, Historical significance, Cultural events"
"20","Gandhi Memorial Museum, Madurai","Museum","https://upload.wikimedia.org/wikipedia/commons/6/6c/Gandhi_Memorial","₹50 – ₹150 (Entry fee)","{9.9305, 78.1171}","Historical artifacts, Gandhi life, Education"
"21","Athisayam Theme Park, Madurai","Amusement Park","https://upload.wikimedia.org/wikipedia/commons/9/90/Athisayam_madur","₹300 – ₹600 (Entry + Rides)","{9.9390, 78.1050}","Water rides, Family fun, Amusement activities"
"22","Pazhamudhir Cholai, Madurai","Temple","https://upload.wikimedia.org/wikipedia/commons/6/6c/Pazhamudirchol","₹100 – ₹300 (Entry)","{9.9875, 78.1133}","Murugan temple, Scenic location, Pilgrimage"
"23","Samanar Hills, Madurai","Hill","https://upload.wikimedia.org/wikipedia/commons/e/e4/Samanar_Hills","Free","{9.9368, 78.1207}","Jain beds, Ancient inscriptions, Hiking"
"24","Koodal Azhagar Temple, Madurai","Temple","https://upload.wikimedia.org/wikipedia/commons/a/a0/Koodal_Azhagar","₹50 – ₹200 (Entry)","{9.9263, 78.1190}","Vishnu temple, Historic site, Pilgrimage"
"25","Yanai Malai, Madurai","Hill","https://upload.wikimedia.org/wikipedia/commons/9/95/Yanai_Malai_M","Free","{9.8898, 78.1230}","Scenic views, Nature trails, Hiking"
